Reference molID, Reference formula, Test molID, Test formula, Perpendicular Distance, Planar Angle (Deg), Relative X-angle (Deg), Relative Y-angle (Deg), Relative Z-angle (Deg), Reference X-center, Reference Y-center, Reference Z-center, Test X-center, Test Y-center, Test Z-center
0.1, x-dummy-plane,479, C5,-19.91,61.31,0,0,0,0,0,0,-19.91,-25.63,24.37
0.1, x-dummy-plane,1980, C5,-19.92,75.27,0,0,0,0,0,0,-19.92,20.56,-2.64
0.1, x-dummy-plane,289, C6,-19.92,25.98,0,0,0,0,0,0,-19.92,4.12,-21.23
0.1, x-dummy-plane,192, C6,19.92,59.26,0,0,0,0,0,0,19.92,-10.04,-22.51
0.1, x-dummy-plane,1892, C6,-19.93,40.02,0,0,0,0,0,0,-19.93,6.92,-3.04
0.1, x-dummy-plane,3191, C5,19.93,80.56,0,0,0,0,0,0,19.93,23.34,10.51
0.1, x-dummy-plane,1781, C7,19.93,82.26,0,0,0,0,0,0,19.93,-14.21,-2.27
0.1, x-dummy-plane,2102, C7,19.97,67.4,0,0,0,0,0,0,19.97,-21.64,0.46
0.1, x-dummy-plane,3825, C7,-19.98,64.21,0,0,0,0,0,0,-19.98,11.36,18.14
0.1, x-dummy-plane,1536, C6,-19.98,45.92,0,0,0,0,0,0,-19.98,9.15,-7.9
0.1, x-dummy-plane,3250, C7,20,69.71,0,0,0,0,0,0,20,24.62,16.49
0.1, x-dummy-plane,1979, C6,-20,83.64,0,0,0,0,0,0,-20,20.04,-4.73
0.1, x-dummy-plane,1095, C7,20.01,73.52,0,0,0,0,0,0,20.01,2.4,-13.78
0.1, x-dummy-plane,3033, C5,20.01,76.95,0,0,0,0,0,0,20.01,2.01,8.22
0.1, x-dummy-plane,2943, C6,-20.01,54.59,0,0,0,0,0,0,-20.01,-5.9,7.89
0.1, x-dummy-plane,1575, C6,-20.02,20.99,0,0,0,0,0,0,-20.02,13.89,-6.66
0.1, x-dummy-plane,113, C5,-20.03,82.02,0,0,0,0,0,0,-20.03,-11.14,-23.9
0.1, x-dummy-plane,3247, C5,20.03,56.7,0,0,0,0,0,0,20.03,-20.73,15.34
0.1, x-dummy-plane,3580, C6,-20.04,58.72,0,0,0,0,0,0,-20.04,-19.65,17.66
0.1, x-dummy-plane,1101, C7,-20.04,45.02,0,0,0,0,0,0,-20.04,4.33,-10.25
0.1, x-dummy-plane,2775, C7,20.05,50.81,0,0,0,0,0,0,20.05,15.42,4.88
0.1, x-dummy-plane,3980, C5,20.05,63.12,0,0,0,0,0,0,20.05,-18.26,21.81
0.1, x-dummy-plane,586, C4-O1,20.06,35.21,0,0,0,0,0,0,20.06,-15.4,-18.23
0.1, x-dummy-plane,1259, C7,-20.06,65.26,0,0,0,0,0,0,-20.06,-19.87,-9.31
0.1, x-dummy-plane,2672, C6,-20.06,65.64,0,0,0,0,0,0,-20.06,5.4,5.97
0.1, x-dummy-plane,3556, C6,-20.07,29.38,0,0,0,0,0,0,-20.07,21.77,13.02
0.1, x-dummy-plane,1971, C7,20.09,82.07,0,0,0,0,0,0,20.09,14.39,-2.04
0.1, x-dummy-plane,3412, C7,20.09,34.86,0,0,0,0,0,0,20.09,3.12,16.39
0.1, x-dummy-plane,3009, C7,-20.11,50.49,0,0,0,0,0,0,-20.11,-0.16,12.27
0.1, x-dummy-plane,3690, C5,20.12,39.49,0,0,0,0,0,0,20.12,-12.27,19.26
0.1, x-dummy-plane,1346, C6,-20.12,62.97,0,0,0,0,0,0,-20.12,-11.94,-10.74
0.1, x-dummy-plane,3038, C7,-20.13,59.27,0,0,0,0,0,0,-20.13,3.96,8.18
0.1, x-dummy-plane,1787, C7,-20.13,46.95,0,0,0,0,0,0,-20.13,-5.82,-4.4
0.1, x-dummy-plane,3456, C6,-20.14,89.45,0,0,0,0,0,0,-20.14,10.83,15.51
0.1, x-dummy-plane,2103, C6,20.14,79.6,0,0,0,0,0,0,20.14,-21.42,0.46
0.1, x-dummy-plane,1528, C5,20.14,58.58,0,0,0,0,0,0,20.14,4.84,-6.68
0.1, x-dummy-plane,1297, C7,20.14,84.42,0,0,0,0,0,0,20.14,-23.9,-8.44
0.1, x-dummy-plane,2149, C5,-20.14,38.76,0,0,0,0,0,0,-20.14,-14.88,1.53
0.1, x-dummy-plane,935, C6,20.14,66.36,0,0,0,0,0,0,20.14,-20.25,-14.37
0.1, x-dummy-plane,1304, C5-O1,-20.15,55.7,0,0,0,0,0,0,-20.15,-15.73,-9.3
0.1, x-dummy-plane,2835, C5,-20.15,53.67,0,0,0,0,0,0,-20.15,25,8.84
0.1, x-dummy-plane,858, C7,20.15,62.64,0,0,0,0,0,0,20.15,19.68,-19.13
0.1, x-dummy-plane,3192, C5-O1,20.16,75.92,0,0,0,0,0,0,20.16,22.92,12.61
0.1, x-dummy-plane,3754, C7,20.16,33.72,0,0,0,0,0,0,20.16,-1.19,17.65
0.1, x-dummy-plane,2372, C5,-20.17,37.22,0,0,0,0,0,0,-20.17,17.18,2.42
0.1, x-dummy-plane,3555, C5,-20.17,49.33,0,0,0,0,0,0,-20.17,23.3,14.52
0.1, x-dummy-plane,2171, C7,20.18,45.6,0,0,0,0,0,0,20.18,-11.44,1
0.1, x-dummy-plane,1466, C7,-20.18,64.01,0,0,0,0,0,0,-20.18,1.51,-5.89
0.1, x-dummy-plane,5, C5,-20.19,39.64,0,0,0,0,0,0,-20.19,-21.49,-23.79
0.1, x-dummy-plane,6, C7,-20.2,16.69,0,0,0,0,0,0,-20.2,-21.49,23.79
0.1, x-dummy-plane,2016, C6,20.2,86,0,0,0,0,0,0,20.2,20.73,-4.69
0.1, x-dummy-plane,2478, C6,20.2,47.66,0,0,0,0,0,0,20.2,25.06,7.12
0.1, x-dummy-plane,757, C7,20.2,47.55,0,0,0,0,0,0,20.2,6.87,-16.5
0.1, x-dummy-plane,436, C5,-20.2,76.77,0,0,0,0,0,0,-20.2,16.52,25.11
0.1, x-dummy-plane,1258, C7,-20.21,59.78,0,0,0,0,0,0,-20.21,-23.52,-6.98
0.1, x-dummy-plane,1168, C5,-20.21,79.99,0,0,0,0,0,0,-20.21,12.48,-13.39
